"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 18:58:38 UTC 2026","Tue Jun 23 18:58:45 UTC 2026","7282","chromium","features/dynamic-controls.spec.ts","Dynamic Controls","","","Enable button enables the input, Disable disables it again",""
"passed","Tue Jun 23 18:58:37 UTC 2026","Tue Jun 23 18:58:38 UTC 2026","701","chromium","features/checkboxes.spec.ts","Checkboxes","","","toggling checkbox 2 unchecks it",""
"passed","Tue Jun 23 18:58:48 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","677","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Tue Jun 23 18:58:38 UTC 2026","Tue Jun 23 18:58:44 UTC 2026","6028","chromium","features/dynamic-loading.spec.ts","Dynamic Loading","","","Example 1: hidden element is shown after the delay",""
"passed","Tue Jun 23 18:58:48 UTC 2026","Tue Jun 23 18:58:48 UTC 2026","604","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","197","chromium","security/headers.security.spec.ts","response security headers (/login)","","","does not yet send CSP, HSTS, or Referrer-Policy headers",""
"passed","Tue Jun 23 18:58:50 UTC 2026","Tue Jun 23 18:58:50 UTC 2026","44","chromium","security/transport-and-error-pages.security.spec.ts","status/error pages do not leak internals","","","the 500 status page returns a generic body with no stack trace or internal paths",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","302","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects an unknown username with the same generic 401 (no enumeration)",""
"passed","Tue Jun 23 18:58:33 UTC 2026","Tue Jun 23 18:58:34 UTC 2026","1162","chromium","features/ab-test.spec.ts","A/B Testing","","","renders the explanatory paragraph regardless of variant",""
"passed","Tue Jun 23 18:58:37 UTC 2026","Tue Jun 23 18:58:37 UTC 2026","652","chromium","features/checkboxes.spec.ts","Checkboxes","","","checkbox 1 starts unchecked and checkbox 2 starts checked",""
"passed","Tue Jun 23 18:58:36 UTC 2026","Tue Jun 23 18:58:36 UTC 2026","303","chromium","features/basic-auth.spec.ts","Basic Auth","","","is rejected with the wrong password",""
"passed","Tue Jun 23 18:58:48 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","549","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Tue Jun 23 18:58:47 UTC 2026","Tue Jun 23 18:58:48 UTC 2026","630","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","65","chromium","security/headers.security.spec.ts","response security headers (/login)","","","sends clickjacking and MIME-sniffing protections",""
"passed","Tue Jun 23 18:58:45 UTC 2026","Tue Jun 23 18:58:46 UTC 2026","644","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","starts at 0",""
"passed","Tue Jun 23 18:58:35 UTC 2026","Tue Jun 23 18:58:36 UTC 2026","856","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removes one Delete button per click, leaving the rest",""
"passed","Tue Jun 23 18:58:46 UTC 2026","Tue Jun 23 18:58:47 UTC 2026","551","chromium","features/inputs.spec.ts","Inputs","","","rejects non-numeric keyboard input natively",""
"passed","Tue Jun 23 18:58:33 UTC 2026","Tue Jun 23 18:58:35 UTC 2026","2229","chromium","accessibility/login.a11y.spec.ts","login flow accessibility","","","secure page has no new accessibility violations (axe-core)",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:50 UTC 2026","108","chromium","security/transport-and-error-pages.security.spec.ts","transport security","","","plain HTTP is served directly instead of being redirected to HTTPS",""
"passed","Tue Jun 23 18:58:50 UTC 2026","Tue Jun 23 18:58:50 UTC 2026","841","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes ""<script>alert(1)</script>"" instead of executing it",""
"passed","Tue Jun 23 18:58:48 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","822","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Tue Jun 23 18:58:46 UTC 2026","Tue Jun 23 18:58:46 UTC 2026","625","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the left arrow after increasing decreases the value again",""
"passed","Tue Jun 23 18:58:34 UTC 2026","Tue Jun 23 18:58:35 UTC 2026","850","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","starts with no Delete buttons",""
"passed","Tue Jun 23 18:58:36 UTC 2026","Tue Jun 23 18:58:37 UTC 2026","1005","chromium","features/broken-images.spec.ts","Broken Images","","","the broken images respond with 404",""
"passed","Tue Jun 23 18:58:33 UTC 2026","Tue Jun 23 18:58:42 UTC 2026","9530","chromium","accessibility/login.a11y.spec.ts","login flow accessibility","","","login page meets accessibility threshold (Lighthouse)",""
"passed","Tue Jun 23 18:58:38 UTC 2026","Tue Jun 23 18:58:38 UTC 2026","667","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 1 updates the selected value",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:50 UTC 2026","903","chromium","security/cookies.security.spec.ts","session cookie flags after login","","","session cookie is HttpOnly and defaults to SameSite=Lax, but missing Secure",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","707","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","grants access with correct credentials",""
"passed","Tue Jun 23 18:58:36 UTC 2026","Tue Jun 23 18:58:36 UTC 2026","276","chromium","features/basic-auth.spec.ts","Basic Auth","","","is rejected with no credentials",""
"passed","Tue Jun 23 18:58:33 UTC 2026","Tue Jun 23 18:58:34 UTC 2026","1168","chromium","features/ab-test.spec.ts","A/B Testing","","","serves one of the two known heading variants",""
"passed","Tue Jun 23 18:58:35 UTC 2026","Tue Jun 23 18:58:36 UTC 2026","725","chromium","features/basic-auth.spec.ts","Basic Auth","","","authenticates and renders the protected page with correct credentials",""
"passed","Tue Jun 23 18:58:46 UTC 2026","Tue Jun 23 18:58:47 UTC 2026","669","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking OK on the alert reports a successful click",""
"passed","Tue Jun 23 18:58:47 UTC 2026","Tue Jun 23 18:58:48 UTC 2026","641","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","entering text and clicking OK on the prompt echoes the entered text",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:50 UTC 2026","626","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","redirect link points to a relative, same-origin target",""
"passed","Tue Jun 23 18:58:37 UTC 2026","Tue Jun 23 18:58:38 UTC 2026","705","chromium","features/checkboxes.spec.ts","Checkboxes","","","toggling checkbox 1 checks it",""
"passed","Tue Jun 23 18:58:47 UTC 2026","Tue Jun 23 18:58:47 UTC 2026","614","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking Cancel on the confirm reports Cancel",""
"passed","Tue Jun 23 18:58:42 UTC 2026","Tue Jun 23 18:58:48 UTC 2026","6005","chromium","features/dynamic-loading.spec.ts","Dynamic Loading","","","Example 2: element is rendered from nothing after the delay",""
"passed","Tue Jun 23 18:58:36 UTC 2026","Tue Jun 23 18:58:37 UTC 2026","711","chromium","features/broken-images.spec.ts","Broken Images","","","renders exactly three images in the example section",""
"passed","Tue Jun 23 18:58:44 UTC 2026","Tue Jun 23 18:58:45 UTC 2026","865","chromium","features/forgot-password.spec.ts","Forgot Password","","","submitting the form currently returns a 500 (known server-side bug)",""
"passed","Tue Jun 23 18:58:48 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","900","chromium","login.spec.ts","","","","shows an error with invalid credentials",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:49 UTC 2026","282","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects a wrong password with a generic 401",""
"passed","Tue Jun 23 18:58:47 UTC 2026","Tue Jun 23 18:58:47 UTC 2026","688","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking OK on the confirm reports Ok",""
"passed","Tue Jun 23 18:58:38 UTC 2026","Tue Jun 23 18:58:45 UTC 2026","7299","chromium","features/dynamic-controls.spec.ts","Dynamic Controls","","","Remove button removes the checkbox, Add brings it back",""
"passed","Tue Jun 23 18:58:46 UTC 2026","Tue Jun 23 18:58:47 UTC 2026","606","chromium","features/inputs.spec.ts","Inputs","","","accepts numeric entry",""
"passed","Tue Jun 23 18:58:45 UTC 2026","Tue Jun 23 18:58:46 UTC 2026","712","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the right arrow repeatedly moves toward the max value",""
"passed","Tue Jun 23 18:58:35 UTC 2026","Tue Jun 23 18:58:36 UTC 2026","774","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removing the last Delete button returns to the empty state",""
"passed","Tue Jun 23 18:58:34 UTC 2026","Tue Jun 23 18:58:35 UTC 2026","898","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","adds one Delete button per click of Add Element",""
"passed","Tue Jun 23 18:58:37 UTC 2026","Tue Jun 23 18:58:38 UTC 2026","574","chromium","features/dropdown.spec.ts","Dropdown","","","starts with the disabled placeholder option selected",""
"passed","Tue Jun 23 18:58:47 UTC 2026","Tue Jun 23 18:58:48 UTC 2026","623","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","dismissing the prompt reports a null entry",""
"passed","Tue Jun 23 18:58:38 UTC 2026","Tue Jun 23 18:58:38 UTC 2026","659","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 2 updates the selected value",""
"passed","Tue Jun 23 18:58:45 UTC 2026","Tue Jun 23 18:58:46 UTC 2026","653","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the right arrow increases the displayed value by one step",""
"passed","Tue Jun 23 18:58:50 UTC 2026","Tue Jun 23 18:58:51 UTC 2026","877","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes """"><svg onload=alert(1)>"" instead of executing it",""
"passed","Tue Jun 23 18:58:49 UTC 2026","Tue Jun 23 18:58:50 UTC 2026","768","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","following the redirect link stays on the same origin",""
"passed","Tue Jun 23 18:58:36 UTC 2026","Tue Jun 23 18:58:37 UTC 2026","770","chromium","features/broken-images.spec.ts","Broken Images","","","the first two images are broken and the third loads successfully",""
